PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,6651 kingsbury,,,,,,,,,
Location:,"Lat, Lon: 34.57, -112.5",,,,,,,,,
Lat (deg N):,34.57,,,,,,,,,
Long (deg W):,112.5,,,,,,,,,
Elev (m):,1688.300049,,,,,,,,,
DC System Size (kW):,4,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.12,,,,,,,,,
Capacity Factor (%),"19.5	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
3,22,14,19,259,14,2,268.892,20.026,945.592,904.023
3,22,15,0,41,13,2,38.942,13.018,141.374,118.331
3,22,16,0,36,12,1,34.149,10.793,125.2,102.468
3,22,17,0,11,10,0,10.41,6.689,38.855,17.742
3,22,18,0,1,8,0,0.944,3.822,3.569,0
3,22,19,0,0,8,0,0,8,0,0
3,22,20,0,0,7,0,0,7,0,0
3,22,21,0,0,7,0,0,7,0,0
3,22,22,0,0,7,0,0,7,0,0
3,22,23,0,0,7,1,0,7,0,0
3,23,0,0,0,6,2,0,6,0,0
3,23,1,0,0,6,1,0,6,0,0
3,23,2,0,0,6,1,0,6,0,0
3,23,3,0,0,6,1,0,6,0,0
3,23,4,0,0,6,1,0,6,0,0
3,23,5,0,0,6,1,0,6,0,0
3,23,6,0,0,6,1,0,6,0,0
3,23,7,0,19,7,1,17.99,4.89,67.672,46.027
3,23,8,0,35,7,1,33.192,5.518,124.522,101.803
3,23,9,15,199,7,1,203.043,11.398,741.834,705.527
3,23,10,37,303,8,1,337.369,17.691,1198.928,1150.277
3,23,11,70,391,8,1,466.168,22.415,1621.459,1559.671
3,23,12,121,438,9,1,580.981,27.484,1973.347,1899.351
3,23,13,13,209,9,1,214.624,16.717,766.318,729.399
3,23,14,3,132,9,1,128.967,11.948,470.402,440.506
3,23,15,193,297,9,1,445.154,21.706,1547.971,1488.586
3,23,16,31,173,9,1,187.751,15.136,672.349,637.749
3,23,17,91,98,7,0,124.442,11.539,436.239,407.101
3,23,18,0,12,5,0,11.361,3.016,43.079,21.888
3,23,19,0,0,5,0,0,5,0,0
3,23,20,0,0,5,0,0,5,0,0
3,23,21,0,0,5,0,0,5,0,0
3,23,22,0,0,4,0,0,4,0,0
3,23,23,0,0,4,0,0,4,0,0
3,24,0,0,0,4,0,0,4,0,0
3,24,1,0,0,3,0,0,3,0,0
3,24,2,0,0,3,0,0,3,0,0
3,24,3,0,0,3,0,0,3,0,0
3,24,4,0,0,3,0,0,3,0,0
3,24,5,0,0,3,0,0,3,0,0
3,24,6,0,0,3,0,0,3,0,0
3,24,7,0,6,5,0,5.675,0.765,21.724,0.923
3,24,8,0,56,7,0,53.161,5.059,199.825,175.639
3,24,9,53,254,9,0,291.003,18.874,1026.917,983.139
3,24,10,30,290,12,1,317.606,21.455,1109.448,1063.366
3,24,11,43,360,14,1,407.283,26.346,1390.821,1336.41
3,24,12,52,395,15,1,455.487,29.217,1534.37,1475.425
3,24,13,10,178,15,1,181.077,20.932,634.211,600.528
3,24,14,5,146,15,2,144.361,17.652,513.239,482.377
3,24,15,132,297,14,2,401.35,23.483,1385.396,1331.152
3,24,16,2,139,13,2,134.805,16.146,482.396,452.231
3,24,17,0,69,11,1,65.838,11.396,240.74,215.734
3,24,18,150,16,8,0,28.062,5.959,77.708,55.874
3,24,19,0,0,6,0,0,6,0,0
3,24,20,0,0,6,0,0,6,0,0
3,24,21,0,0,6,0,0,6,0,0
3,24,22,0,0,5,0,0,5,0,0
3,24,23,0,0,4,0,0,4,0,0
3,25,0,0,0,3,0,0,3,0,0
3,25,1,0,0,3,0,0,3,0,0
3,25,2,0,0,2,0,0,2,0,0
3,25,3,0,0,2,1,0,2,0,0
3,25,4,0,0,2,1,0,2,0,0
3,25,5,0,0,2,1,0,2,0,0
3,25,6,0,0,5,1,0,5,0,0
3,25,7,610,48,9,2,198.657,12.453,588.523,555.922
3,25,8,815,69,13,2,466.182,24.401,1521.412,1462.884
3,25,9,912,80,16,2,710.996,34.559,2302.369,2215.917
3,25,10,963,88,18,2,908.37,42.168,2861.762,2751.823
3,25,11,989,92,19,1,1036.48,51.561,3116.021,2994.445
3,25,12,998,94,20,1,1086.503,54.276,3219.952,3093.446
3,25,13,424,368,21,1,801.234,47.728,2459.075,2366.337
3,25,14,375,338,21,1,685.118,43.384,2148.814,2068.301
3,25,15,11,195,20,1,196.422,27.519,666.762,632.297
3,25,16,394,172,19,1,388.171,30.116,1268.587,1217.884
3,25,17,315,88,15,1,183.079,20.655,580.705,548.286
3,25,18,170,17,11,1,30.315,10.467,81.173,59.275
3,25,19,0,0,9,0,0,9,0,0
3,25,20,0,0,8,0,0,8,0,0
3,25,21,0,0,8,0,0,8,0,0
3,25,22,0,0,7,0,0,7,0,0
3,25,23,0,0,6,0,0,6,0,0
3,26,0,0,0,6,1,0,6,0,0
3,26,1,0,0,5,1,0,5,0,0
3,26,2,0,0,5,1,0,5,0,0
3,26,3,0,0,5,1,0,5,0,0
3,26,4,0,0,4,1,0,4,0,0
3,26,5,0,0,4,1,0,4,0,0
3,26,6,0,0,6,1,0,6,0,0
3,26,7,473,58,11,1,177.323,14.382,536.886,505.483
3,26,8,337,164,15,1,331.329,24.287,1107.638,1061.608
3,26,9,497,213,18,1,570.708,35.229,1850.327,1780.73
3,26,10,548,278,19,2,766.246,39.173,2453.385,2360.879
3,26,11,507,355,20,3,868.721,40.637,2765.434,2659.747
3,26,12,437,390,20,3,850.253,40.459,2709.679,2606.413
3,26,13,507,364,19,3,884.816,40.228,2822.747,2714.541
3,26,14,556,290,19,3,799.374,38.381,2570.977,2473.61
3,26,15,545,215,18,3,624.572,33.212,2048.86,1972.094
3,26,16,504,150,17,3,422.695,27.098,1395.133,1340.588
3,26,17,129,102,14,2,138.943,17.34,469.225,439.355
3,26,18,0,19,12,1,18.013,10.814,66.034,44.419
3,26,19,0,0,11,1,0,11,0,0
3,26,20,0,0,10,1,0,10,0,0
3,26,21,0,0,10,1,0,10,0,0
3,26,22,0,0,9,1,0,9,0,0
3,26,23,0,0,9,1,0,9,0,0
3,27,0,0,0,8,1,0,8,0,0
3,27,1,0,0,7,1,0,7,0,0
3,27,2,0,0,5,1,0,5,0,0
3,27,3,0,0,5,1,0,5,0,0
3,27,4,0,0,4,1,0,4,0,0
3,27,5,0,0,4,1,0,4,0,0
3,27,6,0,0,7,2,0,7,0,0
3,27,7,589,54,10,3,202.871,13.189,607.615,574.564
3,27,8,799,76,12,4,470.105,21.266,1561.062,1501.253
3,27,9,567,196,13,5,602.07,24.195,2057.151,1980.078
3,27,10,166,373,14,6,528.224,22.898,1831.854,1762.905
3,27,11,166,431,14,6,609.244,24.227,2101.204,2022.487
3,27,12,965,118,14,7,1082.444,30.947,3615.844,3333.333
3,27,13,947,126,13,7,1047.235,29.881,3515.544,3333.333
3,27,14,488,304,12,7,755.015,24.152,2601.89,2503.224
3,27,15,384,270,11,6,559.504,20.624,1951.411,1878.209
3,27,16,237,200,9,6,330.657,14.317,1171.924,1124.056
3,27,17,120,103,7,5,137.237,8.814,482.933,452.756
3,27,18,0,7,5,4,6.62,3.767,25.021,4.16
3,27,19,0,0,3,3,0,3,0,0
3,27,20,0,0,2,3,0,2,0,0
3,27,21,0,0,2,3,0,2,0,0
3,27,22,0,0,1,2,0,1,0,0
3,27,23,0,0,0,2,0,0,0,0
3,28,0,0,0,0,1,0,0,0,0
3,28,1,0,0,0,1,0,0,0,0
3,28,2,0,0,-1,0,0,-1,0,0
3,28,3,0,0,-2,0,0,-2,0,0
3,28,4,0,0,-3,0,0,-3,0,0
3,28,5,0,0,-2,0,0,-2,0,0
3,28,6,0,0,0,0,0,0,0,0
3,28,7,414,67,2,2,172.769,4.695,557.255,525.382
3,28,8,874,65,5,3,495.451,15.806,1684.348,1620.462
3,28,9,427,243,6,3,555.095,19.077,1945.783,1872.784
3,28,10,519,292,7,3,757.852,25.002,2600.093,2501.503
3,28,11,429,368,8,3,801.221,27.49,2720.78,2617.034
3,28,12,302,436,8,4,766.69,25.02,2634.621,2534.57
3,28,13,23,314,8,4,329.272,15.368,1182.847,1134.663
3,28,14,942,116,8,3,945.801,29.776,3171.445,3047.253
3,28,15,417,261,8,3,573.584,22.635,1981.377,1907.089
3,28,16,153,211,7,3,293.654,13.967,1047.664,1003.313
3,28,17,142,104,6,2,144.427,9.002,504.617,473.951
3,28,18,0,13,4,1,12.308,2.5,46.775,25.516
3,28,19,0,0,3,0,0,3,0,0
3,28,20,0,0,2,0,0,2,0,0
3,28,21,0,0,2,0,0,2,0,0
3,28,22,0,0,1,0,0,1,0,0
3,28,23,0,0,0,0,0,0,0,0
3,29,0,0,0,0,0,0,0,0,0
3,29,1,0,0,0,0,0,0,0,0
3,29,2,0,0,0,0,0,0,0,0
3,29,3,0,0,-1,1,0,-1,0,0
3,29,4,0,0,-1,1,0,-1,0,0
3,29,5,0,0,-2,1,0,-2,0,0
3,29,6,0,0,0,1,0,0,0,0
3,29,7,584,60,4,1,210.854,8.466,652.252,618.136
3,29,8,604,113,7,0,418.18,23.149,1388.91,1334.558
3,29,9,742,141,9,0,671.258,35.189,2172.606,2091.186
3,29,10,349,348,11,0,665.36,38.456,2139.34,2059.185
3,29,11,299,417,12,1,730.263,35.602,2384.314,2294.604
3,29,12,572,344,13,2,944.88,38.387,3042.899,2924.731
3,29,13,448,354,12,2,818.368,34.919,2681.002,2578.97
3,29,14,10,185,11,2,186.895,17.033,666.303,631.849
3,29,15,0,128,10,3,122.401,11.72,446.925,417.551
3,29,16,0,25,9,3,23.707,8.082,87.953,65.928
3,29,17,0,52,7,2,49.356,6.315,184.525,160.64
3,29,18,0,5,5,2,4.726,3.11,17.914,0
3,29,19,0,0,4,2,0,4,0,0
3,29,20,0,0,3,3,0,3,0,0
3,29,21,0,0,2,3,0,2,0,0
3,29,22,0,0,1,3,0,1,0,0
3,29,23,0,0,0,2,0,0,0,0
3,30,0,0,0,0,2,0,0,0,0
3,30,1,0,0,0,2,0,0,0,0
3,30,2,0,0,0,2,0,0,0,0
3,30,3,0,0,0,2,0,0,0,0
3,30,4,0,0,0,2,0,0,0,0
3,30,5,0,0,-1,2,0,-1,0,0
3,30,6,116,11,0,3,16.12,-1.548,45.434,24.2
3,30,7,199,89,3,3,140.308,4.642,483.964,453.764
3,30,8,860,71,7,3,500.559,17.814,1690.672,1626.573
3,30,9,949,82,10,2,749.068,29.858,2484.74,2390.95
3,30,10,998,88,12,2,947.415,37.56,3056.143,2937.362
3,30,11,1023,92,14,1,1076.607,48.209,3295.235,3165.096
3,30,12,1031,92,15,1,1123.052,50.844,3390.644,3255.824
3,30,13,1023,92,16,1,1086.133,50.943,3276.767,3147.525
3,30,14,996,91,16,2,966.927,42.81,3039.009,2921.021
3,30,15,948,86,15,2,776.956,36.798,2497.23,2402.927
3,30,16,866,75,14,2,535.283,29.08,1731.275,1665.8
3,30,17,701,57,11,1,264.387,20.026,793.493,755.888
3,30,18,232,21,7,1,37.087,7.117,98.531,76.307
3,30,19,0,0,5,1,0,5,0,0
3,30,20,0,0,4,1,0,4,0,0
3,30,21,0,0,3,1,0,3,0,0
3,30,22,0,0,3,1,0,3,0,0
3,30,23,0,0,2,1,0,2,0,0
3,31,0,0,0,2,1,0,2,0,0
3,31,1,0,0,1,1,0,1,0,0
3,31,2,0,0,1,1,0,1,0,0
3,31,3,0,0,0,1,0,0,0,0
3,31,4,0,0,0,1,0,0,0,0
3,31,5,0,0,0,1,0,0,0,0
3,31,6,136,12,3,1,18.077,1.037,49.556,28.246
3,31,7,674,52,8,2,229.102,12.36,689.493,654.476
3,31,8,849,73,12,2,499.375,24.397,1637.99,1575.654
3,31,9,932,87,15,2,744.658,34.552,2415.15,2324.197
3,31,10,979,94,18,1,939.495,47.394,2881.988,2771.146
3,31,11,1006,96,20,1,1066.198,53.385,3174.328,3049.999
3,31,12,1017,95,21,1,1113.55,56.005,3269.151,3140.277
3,31,13,1012,93,22,2,1077.418,51.194,3246.131,3118.368
3,31,14,993,88,22,2,961.572,48.312,2936.917,2823.6
3,31,15,948,83,21,2,774.021,42.445,2417.885,2326.821
3,31,16,866,73,20,2,533.281,34.863,1676.841,1613.207
3,31,17,642,68,18,3,258.431,23.977,769.883,732.875
3,31,18,153,25,14,1,34.745,14.097,100.46,78.199
3,31,19,0,0,12,1,0,12,0,0
3,31,20,0,0,11,1,0,11,0,0
3,31,21,0,0,10,1,0,10,0,0
3,31,22,0,0,9,1,0,9,0,0
3,31,23,0,0,8,1,0,8,0,0
4,1,0,0,0,7,1,0,7,0,0
4,1,1,0,0,6,1,0,6,0,0
4,1,2,0,0,5,1,0,5,0,0
4,1,3,0,0,4,1,0,4,0,0
4,1,4,0,0,3,0,0,3,0,0
4,1,5,0,0,3,0,0,3,0,0
4,1,6,100,16,5,1,19.923,3.13,61.255,39.728
4,1,7,612,64,8,3,226.712,11.819,696.404,661.217
4,1,8,818,85,9,4,498.693,18.946,1681.423,1617.636
4,1,9,928,94,11,4,751.262,26.986,2528.141,2432.56
4,1,10,990,98,12,4,954.875,32.803,3153.893,3030.533
4,1,11,997,115,13,4,1079.301,36.778,3502.841,3333.333
4,1,12,1008,116,14,4,1128.146,38.994,3621.993,3333.333
4,1,13,1007,109,14,5,1090.498,35.695,3558.523,3333.333
4,1,14,983,103,13,5,969.438,32.312,3211.176,3085.091
4,1,15,925,99,12,4,774.789,29.428,2582.299,2484.457
4,1,16,839,86,11,4,533.072,22.855,1777.801,1710.73
4,1,17,24,101,10,3,104.986,12.239,377.627,349.765
4,1,18,281,23,8,3,41.49,7.463,107.474,85.08
4,1,19,0,0,6,2,0,6,0,0
4,1,20,0,0,5,2,0,5,0,0
4,1,21,0,0,4,1,0,4,0,0
4,1,22,0,0,3,1,0,3,0,0
4,1,23,0,0,3,2,0,3,0,0
4,2,0,0,0,2,1,0,2,0,0
4,2,1,0,0,1,1,0,1,0,0
4,2,2,0,0,1,1,0,1,0,0
4,2,3,0,0,0,2,0,0,0,0
4,2,4,0,0,0,2,0,0,0,0
4,2,5,0,0,0,2,0,0,0,0
4,2,6,204,17,1,3,26.29,-0.174,71.563,49.845
4,2,7,737,53,3,4,250.155,6.968,772.212,735.145
4,2,8,913,69,6,5,529.79,15.387,1811.865,1743.614
4,2,9,995,77,8,5,781.818,22.772,2683.106,2580.985
4,2,10,1037,83,9,5,980.607,28.035,3314.243,3183.178
4,2,11,1045,92,11,5,1101.863,32.688,3648.869,3333.333
4,2,12,1051,92,12,5,1146.072,34.726,3758.569,3333.333
4,2,13,1041,92,13,4,1105.653,37.701,3572.167,3333.333
4,2,14,1012,91,13,4,982.202,35.047,3210.086,3084.053
4,2,15,971,83,13,4,791.046,30.772,2618.833,2519.451
4,2,16,895,72,12,3,546.258,25.498,1796.455,1728.74
4,2,17,745,55,10,2,275.313,17.496,833.227,794.607
4,2,18,318,23,6,1,43.389,6.387,109.497,87.065
4,2,19,0,0,5,1,0,5,0,0
4,2,20,0,0,4,1,0,4,0,0
4,2,21,0,0,3,1,0,3,0,0
4,2,22,0,0,2,1,0,2,0,0
4,2,23,0,0,1,1,0,1,0,0
4,3,0,0,0,1,1,0,1,0,0
4,3,1,0,0,1,1,0,1,0,0
4,3,2,0,0,0,1,0,0,0,0
4,3,3,0,0,0,1,0,0,0,0
4,3,4,0,0,0,1,0,0,0,0
4,3,5,0,0,0,1,0,0,0,0
4,3,6,191,18,4,1,26.558,2.386,73.684,51.926
4,3,7,675,56,9,1,238.748,14.546,719.488,683.735
4,3,8,849,75,12,0,507.492,31.324,1614.427,1552.87
4,3,9,932,87,15,0,750.387,43.828,2324.088,2236.778
4,3,10,978,94,16,1,943.596,45.676,2921.188,2808.583
4,3,11,1004,98,18,1,1070.413,51.681,3216.479,3090.14
4,3,12,1015,97,19,2,1116.672,49.206,3401.001,3265.668
4,3,13,1009,96,19,2,1079.769,48.449,3301.157,3170.73
4,3,14,990,92,20,2,964.516,46.501,2974.241,2859.229
4,3,15,947,87,19,2,778.274,40.644,2453.949,2361.42
4,3,16,869,76,18,2,538.332,33.054,1708.53,1643.828
4,3,17,709,60,14,1,270.07,23.168,800.576,762.792
4,3,18,274,25,10,1,41.944,10.347,110.012,87.57
4,3,19,0,0,8,1,0,8,0,0
4,3,20,0,0,6,1,0,6,0,0
4,3,21,0,0,6,1,0,6,0,0
4,3,22,0,0,6,1,0,6,0,0
4,3,23,0,0,6,1,0,6,0,0
4,4,0,0,0,6,1,0,6,0,0
4,4,1,0,0,6,1,0,6,0,0
4,4,2,0,0,6,0,0,6,0,0
4,4,3,0,0,7,0,0,7,0,0
4,4,4,0,0,7,0,0,7,0,0
4,4,5,0,0,7,0,0,7,0,0
4,4,6,0,17,8,0,16.11,5.007,60.569,39.055
4,4,7,408,82,11,0,193.311,16.392,606.941,573.906
4,4,8,558,136,14,1,424.061,26.266,1396.846,1342.248
4,4,9,515,227,17,2,605.624,32.701,1990.736,1916.106
4,4,10,928,123,18,3,932.818,39.774,2976.967,2861.83
4,4,11,520,376,19,3,906.598,40.909,2882.299,2771.442
4,4,12,643,329,20,3,1001.617,43.932,3135.97,3013.456
4,4,13,483,396,20,3,894.684,41.764,2832.191,2723.566
4,4,14,434,334,19,3,737.883,37.009,2390.249,2300.3
4,4,15,471,249,18,2,605.377,34.644,1973.903,1899.886
4,4,16,458,172,17,1,420.174,31.01,1365.207,1311.585
4,4,17,95,113,14,0,138.89,21.497,466.898,437.081
4,4,18,0,18,11,0,17.056,9.834,62.797,41.242
4,4,19,0,0,10,0,0,10,0,0
4,4,20,0,0,8,1,0,8,0,0
4,4,21,0,0,7,1,0,7,0,0
4,4,22,0,0,6,1,0,6,0,0
4,4,23,0,0,6,1,0,6,0,0
4,5,0,0,0,6,1,0,6,0,0
4,5,1,0,0,6,1,0,6,0,0
4,5,2,0,0,7,1,0,7,0,0
4,5,3,0,0,7,1,0,7,0,0
4,5,4,0,0,7,1,0,7,0,0
4,5,5,0,0,6,1,0,6,0,0
4,5,6,0,15,8,1,14.208,5.887,53.216,31.838
4,5,7,426,81,12,1,198.129,16.158,621.557,588.175
4,5,8,377,182,15,2,376.248,23.987,1264.174,1213.603
4,5,9,126,309,17,3,403.956,26.03,1377.773,1323.764
4,5,10,843,161,18,4,905.954,36.912,2933.548,2820.385
4,5,11,447,400,17,4,861.092,35.985,2806.166,2698.691
4,5,12,438,432,17,4,896.856,36.646,2913.543,2801.283
4,5,13,241,450,16,4,701.189,31.62,2334.662,2246.933
4,5,14,448,334,16,4,749.874,32.259,2486.533,2392.67
4,5,15,31,262,16,4,282.75,22.318,983.144,940.563
4,5,16,115,217,16,3,278.087,21.795,960.155,918.195
4,5,17,271,106,14,2,184.779,18.089,602.687,569.752
4,5,18,159,30,10,1,38.058,9.722,115.182,92.641
4,5,19,0,0,8,1,0,8,0,0
4,5,20,0,0,7,1,0,7,0,0
4,5,21,0,0,6,1,0,6,0,0
4,5,22,0,0,6,1,0,6,0,0
4,5,23,0,0,5,1,0,5,0,0
4,6,0,0,0,4,1,0,4,0,0
4,6,1,0,0,3,1,0,3,0,0
4,6,2,0,0,2,1,0,2,0,0
4,6,3,0,0,1,1,0,1,0,0
4,6,4,0,0,0,1,0,0,0,0
4,6,5,0,0,0,1,0,0,0,0
4,6,6,137,26,2,1,30.986,0.482,99.061,76.827
4,6,7,631,78,7,2,253.517,12.084,792.611,755.029
4,6,8,829,103,11,1,532.387,26.943,1737.716,1672.021
4,6,9,925,118,14,1,786.372,38.523,2504.806,2410.191
4,6,10,975,127,16,2,980.222,42.264,3089.183,2968.864
4,6,11,982,143,18,2,1099.969,47.617,3377.642,3243.465
4,6,12,985,147,19,2,1141.727,49.888,3464.793,3326.278
4,6,13,711,276,20,2,993.102,47.368,3053.743,2935.073
4,6,14,603,289,20,3,838.961,40.494,2669.894,2568.339
4,6,15,908,123,19,2,791.603,40.604,2498.033,2403.697
4,6,16,813,109,18,2,543.865,33.238,1730.108,1664.673
4,6,17,331,101,14,1,199.347,20.97,634.262,600.577
4,6,18,106,31,9,0,35.478,9.938,114.119,91.599
4,6,19,0,0,7,0,0,7,0,0
4,6,20,0,0,6,1,0,6,0,0
4,6,21,0,0,6,1,0,6,0,0
4,6,22,0,0,5,2,0,5,0,0
4,6,23,0,0,4,2,0,4,0,0
4,7,0,0,0,4,2,0,4,0,0
4,7,1,0,0,3,2,0,3,0,0
4,7,2,0,0,3,2,0,3,0,0
4,7,3,0,0,3,2,0,3,0,0
4,7,4,0,0,2,3,0,2,0,0
4,7,5,0,0,2,3,0,2,0,0
4,7,6,25,23,4,3,22.993,2.755,83.726,61.78
4,7,7,136,110,7,3,145.183,8.806,508.32,477.57
4,7,8,211,210,11,3,317.587,17.38,1110.741,1064.623
4,7,9,909,96,15,2,750.612,34.142,2443.088,2351.001
4,7,10,660,256,18,2,850.762,40.857,2701.781,2598.856
4,7,11,945,159,20,1,1089.379,53.675,3238.616,3111.215
4,7,12,935,172,21,0,1126.77,63.17,3177.685,3053.197
4,7,13,908,180,22,0,1079.397,62.936,3047.637,2929.25
4,7,14,943,136,23,0,970.747,60.605,2773.113,2667.09
4,7,15,865,137,22,1,775.052,47.501,2360.877,2272.105
4,7,16,764,119,21,1,528.497,38.813,1637.528,1575.207
4,7,17,594,86,17,1,262.471,25.843,786.581,749.152
4,7,18,206,32,13,1,41.989,13.348,121.15,98.495
4,7,19,0,0,11,1,0,11,0,0
4,7,20,0,0,11,1,0,11,0,0
4,7,21,0,0,12,0,0,12,0,0
4,7,22,0,0,12,0,0,12,0,0
4,7,23,0,0,12,0,0,12,0,0
4,8,0,0,0,11,0,0,11,0,0
4,8,1,0,0,11,0,0,11,0,0
4,8,2,0,0,10,1,0,10,0,0
4,8,3,0,0,9,1,0,9,0,0
4,8,4,0,0,7,1,0,7,0,0
4,8,5,0,0,6,1,0,6,0,0
4,8,6,212,26,9,1,35.073,7.773,100.789,78.522
4,8,7,640,68,14,1,249.109,19.948,749.002,712.517
4,8,8,811,90,18,2,513.046,30.733,1644.838,1582.274
4,8,9,892,105,21,2,752.487,40.589,2372.493,2283.256
4,8,10,934,115,23,2,934.937,47.704,2864.681,2754.612
4,8,11,959,119,24,2,1054.824,52.048,3163.598,3039.778
4,8,12,961,123,25,3,1094.149,51.083,3299.306,3168.969
4,8,13,493,379,25,3,886.65,46.618,2737.268,2632.808
4,8,14,535,321,24,3,811.942,43.52,2544.582,2448.317
4,8,15,545,232,23,2,640.648,40.616,2026.41,1950.473
4,8,16,311,206,21,1,372.667,33.651,1203.301,1154.523
4,8,17,277,109,18,0,189.161,26.882,592.46,559.766
4,8,18,24,28,15,0,27.851,15.557,96.434,74.249
4,8,19,0,0,15,1,0,15,0,0
4,8,20,0,0,14,1,0,14,0,0
4,8,21,0,0,14,1,0,14,0,0
4,8,22,0,0,13,1,0,13,0,0
4,8,23,0,0,13,0,0,13,0,0
4,9,0,0,0,13,0,0,13,0,0
4,9,1,0,0,12,0,0,12,0,0
4,9,2,0,0,12,0,0,12,0,0
4,9,3,0,0,11,1,0,11,0,0
4,9,4,0,0,10,1,0,10,0,0
4,9,5,0,0,10,1,0,10,0,0
4,9,6,70,26,11,0,27.648,8.517,92.68,70.565
4,9,7,377,94,15,0,201.112,20.916,630.086,596.502
4,9,8,476,175,18,1,426.764,30.325,1388.712,1334.365
4,9,9,880,111,21,2,751.747,40.315,2374.075,2284.775
4,9,10,641,270,22,2,849.495,44.657,2645.967,2545.433
4,9,11,955,125,23,3,1058.11,47.928,3243.888,3116.233
4,9,12,945,138,24,3,1094.29,50.138,3316.444,3185.272
4,9,13,908,155,23,3,1053.842,48.378,3223.257,3096.593
4,9,14,911,133,23,2,939.967,48.671,2866.109,2755.977
4,9,15,883,114,23,2,764.2,44.059,2369.242,2280.135
4,9,16,821,92,22,2,530.149,36.71,1655.729,1592.802
4,9,17,673,69,18,1,268.558,27.026,788.263,750.791
4,9,18,284,30,15,0,44.343,17.186,117.048,94.472
4,9,19,0,0,14,1,0,14,0,0
4,9,20,0,0,14,0,0,14,0,0
4,9,21,0,0,14,0,0,14,0,0
4,9,22,0,0,14,0,0,14,0,0
4,9,23,0,0,14,0,0,14,0,0
4,10,0,0,0,14,0,0,14,0,0
4,10,1,0,0,13,0,0,13,0,0
4,10,2,0,0,13,0,0,13,0,0
4,10,3,0,0,12,0,0,12,0,0
4,10,4,0,0,11,0,0,11,0,0
4,10,5,0,0,11,0,0,11,0,0
4,10,6,104,29,12,0,32.016,10.019,103.471,81.153
4,10,7,523,76,16,0,227.031,23.068,685.738,650.813
4,10,8,432,180,19,1,409.916,30.919,1332.602,1279.974
4,10,9,642,200,21,2,675.841,38.353,2159.819,2078.887
4,10,10,419,344,22,3,724.694,39.119,2322.816,2235.557
4,10,11,441,414,21,3,863.796,41.398,2739.548,2634.989
4,10,12,395,425,21,3,846.063,41.321,2684.666,2582.477
4,10,13,417,407,21,3,834.317,41.017,2651.233,2550.475
4,10,14,602,294,21,3,842.516,41.174,2672.053,2570.406
4,10,15,501,247,21,3,623.656,36.233,2017.314,1941.711
4,10,16,864,77,20,3,536.989,32.73,1707.686,1643.013
4,10,17,733,57,18,2,274.476,25.391,803.451,765.593
4,10,18,367,27,14,1,45.56,14.549,111.481,89.011
4,10,19,0,0,11,1,0,11,0,0
4,10,20,0,0,10,1,0,10,0,0
4,10,21,0,0,9,1,0,9,0,0
4,10,22,0,0,8,1,0,8,0,0
4,10,23,0,0,7,1,0,7,0,0
4,11,0,0,0,7,1,0,7,0,0
4,11,1,0,0,7,1,0,7,0,0
4,11,2,0,0,6,1,0,6,0,0
4,11,3,0,0,6,1,0,6,0,0
4,11,4,0,0,5,1,0,5,0,0
4,11,5,0,0,5,1,0,5,0,0
4,11,6,280,28,8,2,40.028,7.148,110.144,87.699
4,11,7,292,108,11,3,190.211,13.994,628.712,595.16
4,11,8,454,177,13,4,419.024,21.117,1426.036,1370.53
4,11,9,882,107,14,4,751.76,29.77,2501.467,2406.989
4,11,10,933,113,15,5,935.471,33.114,3086.703,2966.5
4,11,11,960,115,15,5,1054.108,35.688,3440.037,3302.761
4,11,12,0,72,15,5,68.655,16.745,245.108,220.013
4,11,13,0,82,14,5,78.18,14.284,282.22,256.367
4,11,14,101,400,13,5,490.877,21.385,1715.082,1650.157
4,11,15,26,257,13,4,267.445,18.432,946.799,905.197
4,11,16,844,82,12,3,531.763,23.823,1765.569,1698.921
4,11,17,244,115,11,2,185.108,15.982,615.156,581.926
4,11,18,0,2,9,1,1.89,7.466,7.029,0
4,11,19,0,0,8,1,0,8,0,0
4,11,20,0,0,7,0,0,7,0,0
4,11,21,0,0,6,0,0,6,0,0
4,11,22,0,0,6,1,0,6,0,0
4,11,23,0,0,5,1,0,5,0,0
4,12,0,0,0,3,0,0,3,0,0
4,12,1,0,0,2,0,0,2,0,0
4,12,2,0,0,2,0,0,2,0,0
4,12,3,0,0,2,0,0,2,0,0
4,12,4,0,0,2,0,0,2,0,0
4,12,5,0,0,2,0,0,2,0,0
4,12,6,206,31,4,1,38.433,2.55,116.816,94.244
4,12,7,694,66,7,2,268.441,12.525,836.688,797.979
4,12,8,858,85,9,3,538.673,21.034,1810.238,1742.043
4,12,9,939,98,11,3,781.742,29.39,2605.699,2506.873
