PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,6651 kingsbury,,,,,,,,,
Location:,"Lat, Lon: 34.57, -112.5",,,,,,,,,
Lat (deg N):,34.57,,,,,,,,,
Long (deg W):,112.5,,,,,,,,,
Elev (m):,1688.300049,,,,,,,,,
DC System Size (kW):,4,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.12,,,,,,,,,
Capacity Factor (%),"19.5	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,5,9,775,57,4,1,481.803,18.533,1638.473,1576.121
1,5,10,209,195,4,2,357.501,13.594,1286.05,1234.827
1,5,11,2,148,5,2,146.501,8.297,542.979,511.436
1,5,12,47,236,5,2,288.809,11.489,1054.916,1010.363
1,5,13,42,221,5,2,267.149,11.405,976.024,933.636
1,5,14,0,119,5,2,115.698,7.094,431.095,402.071
1,5,15,3,116,4,2,117.178,5.562,439.269,410.065
1,5,16,0,53,4,1,51.998,3.713,196.586,172.464
1,5,17,0,0,4,1,0,4,0,0
1,5,18,0,0,4,1,0,4,0,0
1,5,19,0,0,4,1,0,4,0,0
1,5,20,0,0,4,2,0,4,0,0
1,5,21,0,0,4,2,0,4,0,0
1,5,22,0,0,4,2,0,4,0,0
1,5,23,0,0,4,2,0,4,0,0
1,6,0,0,0,3,2,0,3,0,0
1,6,1,0,0,2,2,0,2,0,0
1,6,2,0,0,2,2,0,2,0,0
1,6,3,0,0,2,2,0,2,0,0
1,6,4,0,0,2,2,0,2,0,0
1,6,5,0,0,1,2,0,1,0,0
1,6,6,0,0,1,1,0,1,0,0
1,6,7,0,0,1,1,0,1,0,0
1,6,8,21,53,1,1,63.792,0.374,240.642,215.638
1,6,9,47,125,2,2,157.654,4.508,589.637,557.009
1,6,10,0,125,3,3,122.301,4.594,460.634,430.956
1,6,11,0,121,4,3,116.977,5.365,439.128,409.927
1,6,12,0,59,5,3,56.047,4.829,210.882,186.475
1,6,13,122,250,5,4,374.128,11.805,1363.316,1309.752
1,6,14,5,149,5,3,150.805,7.919,559.719,527.789
1,6,15,225,144,4,3,293.477,9.827,1063.109,1018.329
1,6,16,161,72,3,2,147.968,6.103,527.392,496.207
1,6,17,0,0,2,2,0,2,0,0
1,6,18,0,0,1,2,0,1,0,0
1,6,19,0,0,1,2,0,1,0,0
1,6,20,0,0,1,2,0,1,0,0
1,6,21,0,0,1,2,0,1,0,0
1,6,22,0,0,1,2,0,1,0,0
1,6,23,0,0,1,2,0,1,0,0
1,7,0,0,0,1,2,0,1,0,0
1,7,1,0,0,1,2,0,1,0,0
1,7,2,0,0,1,2,0,1,0,0
1,7,3,0,0,1,2,0,1,0,0
1,7,4,0,0,0,2,0,0,0,0
1,7,5,0,0,0,2,0,0,0,0
1,7,6,0,0,0,2,0,0,0,0
1,7,7,0,0,0,2,0,0,0,0
1,7,8,0,20,0,3,18.942,-1.49,73.207,51.458
1,7,9,0,50,1,3,47.446,0.296,181.995,158.161
1,7,10,47,182,1,4,224.649,4.435,844.718,805.802
1,7,11,7,165,1,4,168.2,3.564,636.164,602.434
1,7,12,52,241,1,3,298.522,7.019,1111.901,1065.75
1,7,13,62,236,2,3,300.234,8.417,1111.133,1065.004
1,7,14,0,40,1,2,37.952,0.994,145.15,122.034
1,7,15,0,110,1,2,108.72,2.008,414.028,385.378
